Date,Event,Category,Expected Impact on Brent Oil Prices
28-Nov-88,OPEC reaches production accord,OPEC Decision,Price increase through coordinated production limits
24-Mar-89,Exxon Valdez oil spill,Supply Shock,Moderate price increase from supply concerns
2-Aug-90,Iraq invades Kuwait (Gulf War),Geopolitical,Sharp increase due to supply disruption
17-Jan-91,Operation Desert Storm begins,Geopolitical,Initial spike followed by price decline as supply outlook improved
2-Jul-97,Asian Financial Crisis begins,Economic Shock,Significant decrease from weakened oil demand
23-Mar-99,OPEC agrees major production cuts,OPEC Decision,Strong price recovery
11-Sep-01,September 11 terrorist attacks,Geopolitical,Short-term volatility and demand uncertainty
2-Dec-02,Venezuelan oil strike begins,Supply Shock,Price increase from reduced exports
20-Mar-03,U.S.-led invasion of Iraq,Geopolitical,Higher geopolitical risk premium
29-Aug-05,Hurricane Katrina,Natural Disaster,Price increase from Gulf of Mexico production disruptions
11-Jul-08,Brent reaches record highs (around $147/barrel),Market Event,Historical price peak
15-Sep-08,Lehman Brothers collapse (Global Financial Crisis),Economic Shock,Sharp decrease due to collapsing demand
17-Dec-08,OPEC announces record production cuts,OPEC Decision,Prices stabilize and recover
17-Dec-10,Start of Arab Spring protests,Geopolitical,Rising geopolitical risk premium
15-Feb-11,Libyan Civil War escalates,Geopolitical,Price increase due to loss of Libyan exports
27-Nov-14,OPEC decides not to cut production,OPEC Decision,Major oil price collapse
4-Dec-15,OPEC removes formal production ceiling,OPEC Decision,Continued downward pressure on prices
30-Nov-16,First OPEC+ production cut agreement,OPEC+ Decision,Strong price recovery
8-May-18,U.S. withdraws from Iran Nuclear Deal,Geopolitical,Higher prices from expected sanctions
14-Sep-19,Saudi Aramco Abqaiq attack,Geopolitical,Largest one-day oil price jump in decades
6-Mar-20,OPEC+ negotiations collapse (price war begins),OPEC+ Decision,Sharp price decline
11-Mar-20,WHO declares COVID-19 pandemic,Economic Shock,Historic demand collapse
12-Apr-20,OPEC+ agrees record production cuts,OPEC+ Decision,Market stabilization
24-Feb-22,Russia invades Ukraine,Geopolitical,Brent surges above $120/barrel
5-Oct-22,OPEC+ cuts output by 2 million barrels/day,OPEC+ Decision,Higher oil prices
2-Apr-23,OPEC+ announces surprise voluntary production cuts,OPEC+ Decision,Prices rise on tighter supply expectations
7-Oct-23,Israel?Hamas conflict begins,Geopolitical,Increased geopolitical risk premium
19-Nov-23,Red Sea shipping disruptions intensify,Geopolitical,Higher shipping costs and supply concerns
2-Jun-24,OPEC+ delays planned production increases,OPEC+ Decision,Supported Brent prices despite weak demand
